,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
5401,ATP5B,CTC-297N7.5,RP11-417F21.1,PSMB7,RP11-318C24.2,ZDHHC2,ARID4B,CEP72
5402,GRB10,COL4A3,ZNF687,BIRC5,MORC2,TMEM39B,DLD,VPS54
5403,BROX,ZNF503,RFWD2,MFSD9,SPATA21,RDH10,TXNDC16,PPP2R3B
5404,RP5-894D12.3,CTD-3131K8.2,BRPF3,CTD-2369P2.2,RP11-434H6.6,ZNF682,ABAT,ANGPT2
5405,OSGEPL1-AS1,ZSCAN18,RP11-805I24.1,RP11-403I13.4,ZNF234,POLN,HMGN5,ATP8B1
5406,TADA2B,WBP2NL,RIF1,GPR35,RP11-5C23.1,TIPIN,GNPAT,C9orf38
5407,PAX8,SHQ1,MMS22L,AP2M1,USP46,XYLB,LOXL3,FAM135A
5408,CTD-2532N20.1,SLFN12,ZSCAN25,RP11-166O4.6,SCO1,ZHX1-C8ORF76,RPS17,CDK20
5409,PRKCZ,DOLPP1,RP11-72M17.1,AC142528.1,CKAP2,ADPGK-AS1,PWWP2A,FAM229A
5410,SAMD9,CAPN3,TNK2-AS1,CYB5D2,DOK3,HOXB-AS1,FUNDC1,GPR150
5411,RBM27,GDPGP1,CCDC122,HIST2H2AB,IDH3A,SIN3A,NUP205,P2RY6
5412,ROBO3,ZNF547,MKS1,RPS6,DCLRE1B,MATR3,OSBP,RP11-383H13.1
5413,LAMTOR5-AS1,KIAA0101,PDCD6IP,TOE1,HIATL2,GFI1,G2E3,SACS
5414,BZW2,ZNF501,CTIF,TNS3,NADK,SDSL,MAST2,FAM102B
5415,CCDC120,SYDE2,PAQR4,AKAP1,SPTLC3,KRBA1,NR2C1,UBXN7-AS1
5416,KB-431C1.4,TEC,GLYR1,LENG9,C16orf54,RP11-80H8.4,DENND2D,ELOVL6
5417,RP11-142C4.6,LIG4,ZBTB1,ZNF525,AC073115.7,HHLA3,C9orf85,RAD51
5418,WFS1,PDGFC,SLC2A8,CENPA,RP11-134P9.3,RPL36,CTB-55O6.12,STXBP5
5419,HLCS,C16orf13,FAM13B,INTU,BANK1,GSPT2,MYL6B,TAF12
5420,SCRG1,GINS3,CDK5RAP1,RP11-131L23.1,SLC7A6OS,ZNF570,BARD1,SNAI1
5421,RAB38,NUP155,RP6-99M1.2,HLA-DPA1,TIGD6,TTF2,KIAA0040,RP11-229P13.20
5422,CHKB-AS1,HSF4,MEGF8,PRPF40B,B3GNTL1,PPP1R3B,RGAG4,CTPS2
5423,ADAM9,RP5-1159O4.1,ZNF578,RP11-22P6.3,RP11-271K21.11,TMEM8A,KLHDC10,PSPN
5424,IRF2BP1,KCNG1,WDHD1,RP11-367J11.3,TSNARE1,AC004540.4,PEX5,PGBD4
5425,RP11-442N24__B.1,ZNF79,RPP21,CD19,MSL3,MED14-AS1,CXorf24,SLC6A16
5426,C5,RP4-684O24.5,TMSB15B,PARN,GALNT2,LCORL,KCNAB2,LRP5L
5427,AL590822.2,LINGO3,GPR180,ZNF484,MED30,CDYL,SLC25A14,FBLN2
5428,RP11-890B15.3,LNX2,PAX8,CEP128,ZNF738,AP5M1,TGIF2,C8orf88
5429,RNF32,TBPL1,SLC7A7,RP11-802E16.3,CENPN,MNT,TELO2,TLCD1
5430,VHL,RFPL2,CTD-2033A16.3,UBXN10,RAP2A,PI4K2B,MDM2,SLX4
5431,HAS3,HILPDA,AC008443.1,NUP133,LSG1,AC022182.3,TTI1,KHDC1
5432,KCNMB4,LYPD3,NFYA,MRTO4,RP11-884K10.7,CTDSP1,FGGY,RNF31
5433,MAP3K5,C5orf42,CTD-2541M15.1,RP3-477O4.16,LINC00494,XYLT1,ENO3,RP11-506M13.3
5434,FAM129B,ALCAM,THNSL2,NLK,SH3GL1,C1orf109,ARL13B,TRMT44
5435,TMEM163,ACYP1,LHFPL2,RYK,HMGN3,RNF19A,NCOA1,C15orf38
5436,POLR2E,AACS,FSCN3,CCNB1,STOML1,C8orf88,C19orf33,RP3-400N23.6
5437,PIK3C3,GOLGA7B,BMF,TMEM161B-AS1,NPC1,RHOD,KBTBD4,SIPA1L3
5438,YTHDF2,RAD52,ZWINT,GS1-124K5.11,TTL,SLC36A1,WDR20,RP11-67L2.2
5439,FAM228A,RAB11FIP5,XPO1,HOMER2,SPIN4,PFKM,HLTF,RORC
5440,PPP2CB,RP11-16N11.2,SEZ6,FANCE,TP53TG1,FOXK2,CHFR,F12
5441,ADAL,DNAJC28,FAM167A,TSPAN5,ZNF502,ITGB3BP,YIPF2,ZKSCAN5
5442,RAD1,OSBP,RP11-46J23.1,TRIP6,TRPM4,DOK6,ZNF146,GNAI1
5443,TMEM200A,MICALL2,ANKRD44,ARL17A,CTC-297N7.8,DTX4,NOL12,INPP5E
5444,FNIP1,KDM8,OXSM,RP5-1148A21.3,PTOV1-AS1,COG7,DHRS1,PPP1R3F
5445,AC116366.6,FAM228A,SLC45A4,FBXO11,ZNF785,SOX15,DENR,MYO1E
5446,NEB,TKTL1,SUFU,RP11-388M20.6,GMPPA,ADPRHL2,TXNDC12,CARM1
5447,NOL3,PCSK4,KDM8,RP4-610C12.3,LINC00511,CLIP2,AC009133.14,LBX2-AS1
5448,KLF13,RP11-395B7.4,FMNL2,ZNF747,NEUROD2,PHLDA3,KIAA0895L,CEBPE
5449,SIRT4,WRAP53,ZNF778,COMMD9,NOP14-AS1,GPR174,NAP1L5,PARPBP
5450,KCTD5,KIF1B,CTC-250I14.6,C1orf122,DARS2,RP11-424N24.2,C16orf74,DHCR24
5451,HIST2H2BF,BIN3,CDCA7,DRG1,DERL3,ZNF879,ABHD10,NHSL1
5452,DPH6,AC092295.7,BGLAP,PNRC1,CCDC130,RP11-337C18.8,UBXN4,CACFD1
5453,AC009133.12,RP1-92O14.3,PLEKHB1,RNF149,RAI1,RGS12,RP5-1136G13.2,RP11-50E11.3
5454,DEPDC5,RP11-324I22.4,VNN1,RLN1,ZNF787,OAZ3,MOCS3,B3GAT2
5455,ZNF784,CLTCL1,PLOD3,KLRK1,TBXA2R,RP4-758J18.2,TGDS,NET1
5456,NCBP2,RPGRIP1L,UCHL1,C19orf55,RP11-553L6.2,RP5-894D12.3,MTG2,ZNF81
5457,ALG14,PSMD6-AS2,RP11-277P12.20,SMG7,MSRB2,HCG25,MED8,CASZ1
5458,SASS6,EIF4EBP3,RP11-701P16.2,CRNKL1,SGPL1,ATP7A,PFKFB4,AP001469.9
5459,RP11-506M13.3,MAGED2,DZANK1,PPM1D,RP4-798A10.4,C19orf18,CDC6,USP13
5460,MGLL,RGL1,MT1X,ZNF317,ARVCF,SAP30L,TIMM13,WDR35
5461,PQLC2,ZNF211,ZDHHC13,CBX8,SERINC5,METTL5,UBL5,ZNF808
5462,ZNF821,SLC9A7,AC092667.2,YY1AP1,CNTRL,AKAP17A,C2orf43,HIC2
5463,DFFB,SGPP2,KLHL9,TRIM59,ANKDD1A,WDR44,FOXM1,FGD6
5464,CTB-113P19.5,ZBED3,AL354822.1,PARP3,LPCAT4,RHOBTB2,RGS3,KIF23
5465,NLRP3,GAB3,RTKN,ERCC6,FLJ45079,CCDC154,NEK2,IL1R2
5466,RUNDC3B,RP11-438L19.1,RP1-92O14.3,SLC26A1,EPS15L1,CHAF1B,BCAS2,FRS3
5467,TIGD6,PEX14,GLTSCR1L,DNAJA3,RP11-147L13.2,ZEB1,RP3-466P17.1,RP11-152N13.5
5468,UCP3,RP11-212I21.4,F2RL1,ZNF681,DOPEY2,ZNF414,KIF18A,RP11-166P13.4
5469,TUSC1,ADORA2B,GPHN,ZSWIM3,TET2,FLJ00104,SPATA6,ACY1
5470,RP6-206I17.1,MEGF6,PARD6B,CCDC15,C5orf63,TCF20,LPCAT2,C21orf49
5471,PLAG1,MMRN1,RP11-73E17.2,AAR2,RP3-428L16.2,PDE2A,DNAJC24,ZNF582-AS1
5472,MTFMT,NOL3,RP11-6J24.6,FYCO1,ZBTB2,NFIX,DUSP11,CATSPERG
5473,NEU1,AP003068.9,FUK,KIAA0247,CTD-2587H19.1,RNLS,RP5-1142A6.2,GTSE1
5474,FAM98C,UBR2,ADAMTS6,KIF11,SUV420H2,SMPD2,SHCBP1,MIEF2
5475,HSPA14,CTD-2587H19.1,MRPL34,RP11-624C23.1,KCTD21-AS1,IER3IP1-1,PSMA8,ZSCAN12
5476,LEPR,CAPS,ITGAE,CDK14,CCDC9,GPATCH2L,FRMPD3,EBF1
5477,U91328.19,SYCP3,PDK2,NAP1L3,SLC39A10,COQ10A,KIF9-AS1,ITGAV
5478,FAM21C,RND1,GPT2,PRPF4,SREBF1,NUP107,AKAP13,MC1R
5479,MAP4K3,CTA-445C9.15,RP11-391M1.4,PPP1R15B,ARL6,AAMDC,ADIRF,MSTO1
5480,CTD-2547L24.4,PCYOX1,LINC00957,TM2D2,RAB3IP,PHF14,C4BPB,RP11-78A19.3
5481,ARHGAP19,MIR146A,ITFG3,UBAP2L,RP11-398K22.12,SENP7,DPH3,SUFU
5482,TLDC1,ACY3,DTNBP1,C22orf43,GPSM3,RP11-395G23.3,SAP30,DTX1
5483,NFIA,SIPA1L2,RP11-529K1.4,CYP3A5,DEF8,HSD11B1L,NIPAL1,CTC-534A2.2
5484,SALL2,DEPDC5,ANAPC1,RP11-166P13.4,UBC,AC096772.6,LOXL2,CTLA4
5485,NPAS2,FBXL14,ZNF585A,GNPTG,RP11-499P20.2,PARN,ZACN,TRNP1
5486,TOX2,SCRG1,IST1,SKIV2L,SOX4,XKR8,RP11-138P22.1,TRIM32
5487,CCNT2,ZNF583,MAP1LC3A,NEK4,CHTF18,SLC25A26,RP11-707M3.3,MCM3AP-AS1
5488,AHR,RP11-25K19.1,SCRIB,SECISBP2L,ZNF383,MBD5,RAB15,LATS2
5489,ZDHHC23,C5orf27,BAZ1A,AGBL3,CDKN3,ADAP2,MEF2C,RP11-452L6.1
5490,C1orf112,AC012360.4,ZC3H13,NME7,PDP2,RNF149,KTN1-AS1,ZXDA
5491,LBX2-AS1,HMMR,AMZ1,LILRA6,CTD-2012J19.3,DVL3,PANK1,RMI1
5492,SIRT1,ZMYM1,CC2D1B,IL24,EPB41L2,FAM208B,RP11-531A24.5,GATM
5493,TCP10L,DESI2,JRKL,CDKL1,LRTOMT,NUDT8,CDH20,AC020571.3
5494,SOX12,TESK2,GSKIP,PLEKHO2,BMS1,CXorf57,RP4-548D19.3,GINS2
5495,DRAM1,FRMD4B,MYO9B,RP11-572O17.1,RP11-787I22.3,AC015849.19,RP11-33O4.1,LMBRD1
5496,CTD-2007H13.3,CEP72,ZNF362,PRTFDC1,RP11-339B21.13,ATXN7L2,CTD-2227I18.1,KIAA1467
5497,TIMM21,GANC,NCKAP1,CTB-133G6.2,SFMBT2,C5orf34,KLHL29,PTGR2
5498,RHBDL1,SYTL2,RP11-304L19.5,UFC1,GLRX3,PLXNA3,ZNF280B,CNR2
5499,RP1-100J12.1,DPH6,ENPP4,VPS13B,C1orf216,DSE,ZNF208,QSOX2
5500,RBM26-AS1,AP5Z1,RSG1,RP11-74E22.3,AL133245.2,CYP2U1,CTD-2201I18.1,SCMH1
5501,DNAJC27,DNAJC24,CTD-2623N2.11,TMSB4Y,BROX,PPP1R3E,LINC00511,LMOD3
5502,DENND2C,C5,ABTB2,DKC1,SH3YL1,RAB22A,UBXN10,RP11-513I15.6
5503,ZBTB9,P4HTM,GET4,P2RY2,ZRANB3,CLIC4,KRT8,STAM2
5504,DIRC2,ZNF624,C14orf132,MB21D1,SGSM1,TAF5L,CTC-366B18.2,FAM201A
5505,ZNF664,KLHL11,PGF,OGFR,TPK1,SCYL1,CTD-2555C10.3,BLOC1S3
5506,POLE2,LIMK2,ZBTB18,UNC45B,AC069513.4,RPH3AL,SLC16A10,DKFZP779L1853
5507,FAH,CD248,ADAM9,SP1,PM20D1,CDC6,RP11-661A12.12,CDT1
5508,ERO1L,TP53INP1,RP11-105N14.1,D2HGDH,TELO2,AC079305.10,ZNF625,RP11-445H22.3
5509,HOXA10,ZFP28,ZNF416,NUPL1,SETD1A,RP11-554J4.1,TMEM238,CTD-2231E14.8
5510,NUPR1L,PRDM8,KDM4A-AS1,DMC1,SUV420H1,PAN3,TCEAL2,COPZ2
5511,GPR150,CPAMD8,MTBP,RP4-798A10.2,IRF2BPL,FOXM1,TRIM31,RP11-344P13.6
5512,RP5-935K16.1,MIEF2,EFCAB7,DHX32,SMARCAL1,UCHL1,SRRM5,ZNF282
5513,RP11-77H9.2,ZNF517,CEP76,ITM2A,RBM26-AS1,TENM1,AC007228.5,FXR2
5514,RNF222,MLF1,BRD4,HS1BP3,CCDC88A,RWDD3,RP11-666A1.5,RBM26-AS1
5515,RP11-509J21.2,ZNF528,CBX2,PRKAR1B,PKN3,KIF18A,PKNOX1,LINC00920
5516,RP11-362K14.6,MST1,CCRL2,WRN,RWDD4,PI4K2A,RNF157-AS1,DNAJC27-AS1
5517,SAMD12,EFEMP2,AC004893.11,ZNF571-AS1,SDF2L1,ZNF625,ARHGEF10,KIF9
5518,ABLIM2,AC009950.2,RBM12B-AS1,GBA2,PPP1R15A,RP4-583P15.15,RNF222,USP45
5519,AC004447.2,CTD-2023M8.1,GPCPD1,C1R,KBTBD6,RP5-1142A6.2,ZNF286B,PAXIP1-AS2
5520,MALT1,DMC1,NPPA-AS1,RP11-731C17.2,C19orf55,ADIRF,KIAA1107,ZNF510
5521,RP11-875O11.1,AC074289.1,RP4-583P15.15,PRMT2,ABHD15,RP3-466P17.1,RP11-347C12.1,PAX8
5522,CD248,RP4-635E18.8,ZNF852,C7orf60,NR3C2,KIF9-AS1,EXOC4,TRAF3IP1
5523,LRRIQ3,CTC-459F4.3,FXR1,GRAMD4,AP000783.1,ESCO2,RP11-46A10.5,ZNF354C
5524,HKDC1,TENM1,ZZEF1,ZWINT,MRPS21,RP11-531A24.5,SNORD3A,LENG8-AS1
5525,PKD1,ZNF438,PKD2,MXRA7,VAT1,RP11-33O4.1,ZFYVE28,ZNF23
5526,PYCR1,ATP6V0E2,MDGA1,PEX11A,MIA3,RP4-548D19.3,CTC-459I6.1,HOXA9
5527,CTD-2302E22.4,CCR4,MIR155HG,SLC35E2B,TNFRSF25,RP3-486I3.7,RP11-247A12.2,AARS2
5528,SNRPN,DCTN4,PSMD6-AS2,CTD-2666L21.1,MED12,RP11-707M3.3,PM20D1,WRNIP1
5529,JMY,DGUOK-AS1,AEBP2,KCNMB4,RP11-532F6.3,RP11-138P22.1,ZNF512,GIPR
5530,AC024940.1,DUSP4,NMB,TUBG1,PCED1A,MADCAM1,RP5-940J5.6,RIC8B
5531,RP1-224A6.3,RP3-508I15.22,LGALS12,PPP1R17,MCM8,USP54,RP11-540O11.6,DNAL1
5532,GPX3,PFKM,CMIP,RP11-50E11.3,ATRAID,ABHD17B,AC004381.6,CADM1
5533,SERPINI1,SNX25,LINC00893,DFFB,DNAJC18,TMEM238,DPY19L2,RFX2
5534,KCTD1,RP1-151F17.1,C12orf61,AC061992.2,HEATR5B,RP11-448A19.1,NPAS2,NCR1
5535,A2M,LINC00880,TBK1,INTS3,PDE9A,RP4-798A10.7,TMEM136,ANKRD35
5536,FCGBP,CACNA1A,ANGEL1,TRPM2,SERPINE2,AD000090.2,XPR1,RP11-212P7.2
5537,CXCR2,HSPB9,ULK1,SPATA6,AP1B1,MAP3K14-AS1,RP6-206I17.2,FAM72A
5538,STMN1,SH3BP5-AS1,RP11-452H21.4,PER2,ZBTB45,ZNF208,SUN3,MTHFD1L
5539,ZNF93,C16orf46,GTF2F1,KLHL25,NCOA5,KTN1-AS1,TAS2R30,RP11-432I5.1
5540,B2M,RP11-805J14.5,ZNF573,AL627309.1,AXIN1,KRT8,RNF175,MIR146A
5541,TEX14,CBLN3,DLGAP1-AS2,CHN2,ATP1B1,ZACN,PHYHD1,LIN9
5542,NIF3L1,TAPT1-AS1,ZNF282,SOBP,PTBP2,MCM10,NUPR1L,ZNF436
5543,PTPRJ,LAMA5,RP5-1112D6.4,SNAI3-AS1,MFSD7,PSMA8,PRR22,IFT80
5544,PPP1R12B,AE000662.92,MADCAM1,RP4-800J21.3,GPATCH1,PANK1,KLB,HIST1H4H
5545,GCA,CENPH,ATP13A3,REPS1,C3orf14,NIPAL1,TTC30B,CHMP4A
5546,CASP3,GCDH,CRYBG3-1,PLB1,ADAMTS10,CTC-550B14.7,PRDM11,KCTD15
5547,NPIPA1,RP13-270P17.1,GTPBP2,DCLRE1A,ZSCAN9,RP11-260M2.1,RP11-392P7.6,ST8SIA1
5548,SLC35F3,RP11-362K14.6,ACAD11,DPM1,XRCC1,KLHL29,RP4-798A10.7,NAT14
5549,SULT1A1,ZNF558,AC004381.6,LASP1,TNFRSF10A,LOXL2,RP1-261D10.2,CRIPAK
5550,PPCS,ADD2,GOLIM4,HARBI1,TMPO,ATP8A2,MAMSTR,SLC22A18AS
5551,GS1-124K5.11,AC011747.4,CCDC86,PLCH2,POLD3,ADAMTSL5,ATP8A2,LARS2
5552,USP51,RNF135,NRAS,DLAT,GPA33,DNAJC9-AS1,KCNH3,SLC16A5
5553,RP11-178G16.4,SMIM8,PLGLB1,PHLDB1,C17orf80,CELSR3,RP3-380B8.4,CENPA
5554,EFCAB13,OCM,ZNF248,C4orf3,SUMF2,RNF222,SLC10A1,TPRG1-AS1
5555,VSIG2,RP11-504P24.6,CPNE1,DNAJC3-AS1,RP11-468E2.4,DOCK5,CTD-3064H18.1,ZNF862
5556,TTC9C,MCM2,THBS1,GPN3,LRRC34,RP11-110I1.14,FBXL22,EPHA1
5557,POLR2G,SGOL1,SHPK-1,FBXO45,VBP1,KLHDC9,GMIP,FZD3
5558,ZNF541,ZNF174,RP11-332H14.2,L3MBTL4,EIF4EBP1,RP11-513M16.7,CRB1,RP11-215P8.3
5559,COL17A1,PCSK5,UACA,FKBP14,HNRNPU-AS1,RP11-477N3.1,RP11-46H11.3,RP11-334C17.5
5560,PHKG2,TMTC3,ADAM23,CLEC7A,RP5-1021I20.1,DCUN1D1,AL590822.2,ZNF75D
5561,ZNF502,FLJ20306,RP11-159G9.5,RP11-488L18.8,TUBGCP4,SCARF2,AKR1CL1,RP11-326C3.15
5562,QSER1,RP11-134P9.3,CABP4,HOMER3,CTC-241N9.1,ZNF286B,AC009950.2,SARDH
5563,LINC00894,RP11-307C12.12,CTB-61M7.2,TRMT6,FKBP2,RP11-46H11.3,RP1-234P15.4,ANKRD22
5564,ARSD,FITM1,ATP2A2,TRIM66,ANGEL1,CDH20,RP11-15A1.7,CAMKK1
5565,MMGT1,AL353354.2,AGAP4,ZNF354B,RASA2,CTD-2227I18.1,CNKSR1,TMCC3
5566,MIPEP,MYB,MOB3C,MANBAL,CDK5RAP1,RP13-131K19.7,UCHL1,OR2A1-AS1
5567,EDEM2,CCDC176,AC009501.4,METTL14,ZNF354B,HKDC1,SUGCT,FICD
5568,TRIM34,GRB10,PTBP2,DOPEY2,RP11-727F15.9,NEK2,RP11-490O6.2,RP3-322G13.5
5569,RP11-540O11.6,LINC00092,TACC3,OSGEPL1-AS1,TTC39C,ARHGEF10,BHLHE40-AS1,C1orf233
5570,TMED1,DKK3,BZRAP1-AS1,DHRS11,SLC37A1,NLGN4Y,SKA3,C6orf57
5571,PDP2,S100P,KLHDC1,SLC3A1,EBLN2,KLB,HKDC1,MANEA-AS1
5572,RBM19,MTFP1,MIR146A,SEPP1,KBTBD11,PTPRM,GPR63,ZNF256
5573,HIST1H3D,TMPO,RP13-314C10.5,RP11-395B7.4,COQ3,AP001610.5,TMPRSS3,ZNF501
5574,ZNF804A,FAM21A,LINC01004,RP1-92O14.3,RP11-589C21.5,AL590822.2,RP11-388M20.6,RP11-572O17.1
5575,RP1-159A19.4,RP1-29C18.10,C8orf37,ZMAT1,C9orf38,ASUN,CTC-550B14.7,ZSCAN5A
5576,CSNK2A2,LILRA4,STAM2,C1orf27,ISCA1,RP11-291B21.2,CCDC3,RP4-610C12.3
5577,AC009403.2,TRERF1,BFSP2,RNPS1,DSEL,NUPR1L,RP4-583P15.15,KIFC2
5578,RP11-894P9.1,RBBP7,PLEKHG3,TMEM170B,AC004381.6,SLC16A10,SYCP2,ZNF771
5579,IL21R-AS1,WBP1L,TMCC2,ZNF213,AGPAT5,RP6-206I17.2,RP11-260M2.1,GS1-124K5.3
5580,TRIM31,NDUFA8,CTD-2545M3.2,TTC4,GPR126,QRICH2,B3GNT9,HESX1
5581,KIR3DL1,CELF2-AS1,SLC3A1,TMEM135,AC008443.1,RNF157-AS1,MYL5,ZMYND10
5582,LNX2,VCPIP1,SLC7A1,LENG1,ZNF674-AS1,RP11-392P7.6,EIF4G3,SLC46A1
5583,HEMGN,LYRM7,UNKL,CTD-2012K14.7,PCK2,RP11-46A10.5,RP11-305K5.1,ARHGAP32
5584,GPR27,RP11-624C23.1,NBEAL2,UBBP4,POLE3,FBXL22,HCG25,CARD6
5585,ARL8B,RP11-271K21.11,ZKSCAN7,RP11-135A24.4,C14orf142,RP11-661A12.12,RBM12B-AS1,DMWD
5586,VPS13A-AS1,ASPM,GOLPH3L,RP11-425D10.10,NUDT6,CTC-366B18.2,SLC23A3,OSGEPL1-AS1
5587,STXBP4,ARHGAP33,SPRED1,ACTR8,PRKD3,C4BPB,RP11-314N13.3,RWDD3
5588,ZNF230,CTD-2651B20.3,PPIL6,DMWD,AC008440.5,AC007228.5,CTD-2666L21.1,C17orf67
5589,PPP1R3D,SLC35F3,ZNF502,SLCO4A1,AC005253.2,RP11-247A12.2,MXRA8,KAZALD1
5590,ASTN2,AC093642.3,FCGBP,C14orf182,NEK8,CTB-47B11.3,AC123768.4,CTC-338M12.5
5591,KEAP1,DDX27,MTPAP,PXMP4,NPAS2,OVGP1,BOK,SLAIN1
5592,AC097500.2,NIPSNAP3B,DGKG,TMEM9B,RP11-46A10.5,RP11-178L8.7,RIMS3,ZNF736
5593,CTD-2369P2.2,GAS2,XXbac-B135H6.18,ARPP19,C7orf31,ZNF280B,ANKRD31,THBS3
5594,ZNF622,PIKFYVE,AC090186.1,RNF111,RP11-469M7.1,RP11-540O11.6,C9orf24,PPP1R3B
5595,COA7,U47924.30,REXO1,KDELC2,DCAF4,RP11-347C12.1,CTD-2532N20.1,ATP6AP1L
5596,CTD-3193K9.4,KIF27,CHKB,GPM6B,MIR181A2HG,TRIM31,ZXDC,SS18L1
5597,ZNF155,CWF19L1,CTD-2196E14.4,CDCA7,TMEM163,RP11-498C9.2,GPR157,SLC16A11
5598,BCL2L14,ZNF33A,AGAP5,ARFGEF2,KRT2,RP11-666A1.5,C2CD4D,NEO1
5599,CDC42EP2,ABCB1,GATAD2A,GATC,TRAF6,RNF175,MLLT4,TMEM30B
5600,CCDC106,PYGM,ZNF543,IKZF3,CTC-523E23.11,MYO1B,SLC6A4,USP49
5601,LINC00663,ZNF674-AS1,LINC00880,SFMBT2,SYCE1,TAF2,KRT73,LYSMD4
5602,TUFT1,C1orf50,RP11-119B16.2,B4GALT6,FBXO34,ARHGAP42,ADCY7,TMEM51
5603,RP11-641A6.2,DVL2,AC022182.1,BAG3,CMTM4,AC068580.6,FOXD2,ZNF879
5604,SERPING1,ZNF442,COQ9,TESC,ATP6V0E2-AS1,MCAM,TCAP,CLDN7
5605,RP11-571M6.7,LENG8-AS1,SPESP1,PTPN13,CAMK2N1,SYP,USP54,ARHGEF11
5606,AC008443.1,AC016757.3,RP11-514O12.4,FBXO36,PDCD7,RP11-111J6.2,RP3-477O4.16,MASTL
5607,CTC-338M12.4,RP11-157J24.2,ATP2C1,SBNO2,NMRAL1,SUGCT,PRPF8,ADAT3
5608,ZFP69,AP006222.2,DTNB,DOLPP1,CLIC4,HIST2H2BF,COL6A1,TTC12
5609,PLOD3,MANEA-AS1,CTB-47B11.3,HIST2H2AC,RAB11FIP3,CNKSR1,AC004158.2,DGKQ
5610,CEP170B,MPP6,C11orf30,KIAA1009,CTC-534A2.2,CA6,AC026202.1,CDCA8
5611,KIAA0226,RP11-483I13.5,TAS2R30,FGF9,TULP4,Y_RNA,KRT86,NANP
5612,RAB15,IFT122,CDCA4,DTX3,HABP4,COLCA2,RP11-774O3.3,CTB-43P18.1
5613,LONRF3,THAP9,PPIL1,CALCRL,BAMBI,RP1-234P15.4,USP12-AS2,ZNF320
5614,WDR81,TBC1D24,EPPK1,PIGX,BAHD1,RP11-290D2.3,KLHL32,RP11-498C9.3
5615,C16orf54,HSPA1L,ZNF652,KIAA1432,RNASEH1-AS1,WBP2NL,RP11-89F3.2,ICK
5616,CTC-338M12.5,CLIC5,CUZD1,ASGR2,RP11-203J24.8,CTD-2532N20.1,SLC2A1-AS1,SLC35D1
5617,KANK1,STK35,CTC-428G20.6,RRAGD,RP11-85A1.3,RP11-336K24.12,ZBTB8A,RP11-89K11.1
5618,PHKA2,SLC16A1-AS1,RP11-1007O24.3,HMBS,C5orf30,C14orf132,PAPL,TPST1
5619,SERAC1,AP001046.6,RP11-442H21.2,B3GAT2,WDR20,RP11-379K17.4,RP11-60I3.5,NOG
5620,TXNL4B,ACVR1C,KDELC2,AC131056.3,RP11-428J1.5,MUC20,PIWIL1,TSNARE1
5621,HGD,TMEM81,RAB10,RNU11,INTS8,SEMA5A,PEX12,FCAR
5622,KBTBD6,PPP2R3A,ZNF879,CTD-2410N18.3,SHF,RP11-265P11.2,CACNA1C,CCDC96
5623,YWHAG,RNF157,GTSE1,CASP7,ATXN2L,CTC-459I6.1,AGAP1,ZC3H10
5624,KCNAB3,CDC20,POLR3A,SIAH1,PHF13,TAS2R30,GAS2,RP11-318E3.9
5625,RHPN1,IFITM10,ZNF620,ENTHD2,IL18,RP3-477O4.16,RP11-111J6.2,ZNF189
5626,CWF19L2,ZNF223-1,RP11-513M16.7,ZFHX3,ZDHHC3,RP5-1157M23.2,TRIM59,C19orf40
5627,GNAI1,BHLHE40-AS1,AHDC1,AL591479.1,SRP54,TRIM60,SLC16A7,HAL
5628,MIAT,TCAP,SRCRB4D,TXNL4A,RP11-664D1.1,RP4-813F11.4,CTD-2651B20.3,MYB
5629,MRAS,CTB-113I20.2,RNF219-AS1,MLLT3,KIAA1467,TRIM54,ATL1,ARHGAP22
5630,RP11-1060J15.4,PRKAB2,TTC1,ATP13A3,PBK,TLR9,AC012074.2,C15orf41
5631,QRICH2,RP11-223C24.1,SLC35E2,MYOM1,GSK3B,SKA1,RP1-257A7.5,RP11-463J10.3
5632,IL10RB-AS1,HSPB11,LMBRD2,ZMYM6NB,SELPLG,AC123768.4,MADCAM1,HABP4
5633,MUTYH,AP003068.23,POMT2,PA2G4,CCR1,ABLIM2,SUMO4,RP11-680A11.5
5634,SYDE2,SHCBP1,AAR2,TIMD4,LEPRE1,AP001412.1,GCNT4,ZNF232
5635,DTWD2,RP11-863K10.7,E2F1,BMP1,FAM179B,RP5-1098D14.1,C7orf25,RP11-817O13.8
5636,PRR22,TMOD1,RP4-549L20.3,C2orf88,TMEM140,AC004158.2,RAP2A,B4GALT6
5637,RP11-730K11.1,ACADSB,AC116614.1,CXorf21,PAXIP1,TCEAL2,SAMD12,TCP11L1
5638,ENKUR,ZNF724P,CSRP1,GP6,ABCG2,PARK2,RP11-265P11.2,TIRAP
5639,RP11-1079K10.4,KIR3DL1,DRAXIN,PTCH2,FRY,COL6A1,RP11-700H6.1,GOLIM4
5640,RP5-1024G6.7,GPR174,RP11-423H2.3,PBK,NOL11,SLC10A1,C1R,ANKDD1A
5641,LIG4,RP11-544A12.4,RP11-1391J7.1,CHGB,TNFRSF12A,CTA-445C9.14,AKAP9,FAM229B
5642,RP11-680A11.5,RP11-385F5.5,POLA1,LXN,IL10RB-AS1,B3GNT9,UNC45B,CCDC151
