,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
5185,PLLP,RAD51D,RP11-775D22.2,SLC33A1,ABRACL,LRWD1,E2F4,DLC1
5186,MCM6,DYNC1I2,CHMP3,CTC-338M12.5,ZNF768,RCSD1,FAM174B,HAR1A
5187,ELOVL6,ZNF490,SPIN2B,KIAA1109,ZNF530,ZNF414,VAV1,RP11-315I20.1
5188,RP3-428L16.2,RP11-356I2.4,EPS15,ACAD9,NACC1,CDYL,RNF38,LDHD
5189,GTPBP1,RDH11,THOC1,MTRF1,AF131217.1,ACOT4,SCAI,L3MBTL1
5190,RP11-445H22.3,SMIM10,PPP1CB,MCM3,BCO2,MTM1,CDT1,NR2C2
5191,RP11-57H14.2,CCNE2,PQLC1,DLEU2L,DYNLL2,TMEM254,CTA-384D8.34,STK33
5192,ARL13B,DDX54,ZNF23,FAM201A,RP5-1159O4.1,FUS,CDK6,LINC00623
5193,MAP4K3,FGFRL1,ZNF587B,LINC00894,WAPAL,ZNF549,CCDC41,RP5-892K4.1
5194,LRRIQ3,MPZL3,GATAD2A,INTU,APOBEC3F,METTL20,IMPAD1,RP11-166O4.6
5195,RP11-640M9.1,SERINC5,LRRC34,FSTL3,ZNF585A,AF213884.2,MYO19,RP11-422P24.11
5196,TTC26,RNASEH1,ZDHHC18,RP1-40E16.12,CCNT1,DGCR8,FAM114A2,PER2
5197,SF3B2,RP11-732M18.3,CCDC122,PHACTR2,SIRT4,MCEE,PPME1,FGFR1
5198,UBE3B,BTBD3,TRIM74,C16orf54,PRMT5-AS1,CTD-3074O7.12,RP11-554J4.1,SDR42E1
5199,KNSTRN,TFAP2E,RPL36AL,DOLPP1,ASUN,TEC,C11orf74,CTD-2256P15.4
5200,AC096772.6,CTC-444N24.6,PPT2,ZNF525,GNL1,VPS18,BMF,GNAL
5201,MEMO1,EBF1,RP11-73E17.2,METTL21B,PABPC3,NUP107,ARHGEF1,RHOU
5202,SPATA33,ZWILCH,AP000769.1,C2CD2,DNAJC18,KANSL1,MAN2B2,ZNF649
5203,TRIM31,CTD-2540F13.2,CDC42BPB,ZDHHC12,MTFR2,HIST1H2AE,GAS2L1,RP11-658F2.8
5204,HOOK1,ZNF335,MAPK3,LINC00092,VWA8,FADS1,FRMD8,DNAJC3-AS1
5205,ARL5B-AS1,FBLN7,RP11-498C9.2,FKBP14,TRBV11-2,WDR91,HAUS2,RIMKLB
5206,STX2,CTD-2006K23.2,ZNF628,ABCF3,KCNAB3,KALRN,FHL1,MEF2BNB-MEF2B
5207,RP11-598F7.3,RP11-764K9.1,ZBTB42,CTD-3088G3.8,GABARAPL2,NKAPL,RP11-318E3.9,RP11-313P13.5
5208,CTC-459I6.1,IL23R,OIP5,TIMP2,KIAA0947,HS3ST3B1,GAMT,RP11-705O1.8
5209,HTRA1,IL23A,ZNF804A,CCDC102A,RFC3,LNX1,CTC-338M12.4,ZNF441
5210,EFHD1,MTHFD1,MFSD2A,CLEC12A,GSK3A,MORC2-AS1,AP5Z1,ZDHHC9
5211,GFM2,AASDHPPT,DNAJB4,KIAA1432,PSPH,AMZ1,TSGA10,RP11-1149M10.2
5212,ITFG3,TAF2,ZNF337-AS1,C22orf29,BBS4,RP4-816N1.6,INTS4,RP11-890B15.3
5213,SENP8,ZHX3,GNL2,MYO18A,CCDC64,RP11-539L10.3,SAE1,FAM161B
5214,CWC25,NFE2L3,BCL2L2,SGOL1,BTBD11,C10orf2,NDC1,SUFU
5215,RP11-841O20.2,ZNF551,ZNF793,TAF10,TRAIP,SOX7,CNIH4,PPP1R12B
5216,SOX12,LZTFL1,MRPS35,GFI1,DYNC1I2,FAM8A1,NHLRC2,BBS1
5217,RHOBTB3,RNGTT,CAPN10-AS1,EPHB2,ZFP82,MDS2,GOLGA4,ZNF490
5218,ZNF586,VPS72,CDHR3,RYBP,ABCA5,RP11-809O17.1,RARG,MARVELD1
5219,RP11-247A12.2,EEF2,TGIF2,NEDD4L,TSC2,RAB35,ING5,COPZ2
5220,FAM53A,CNIH3,RP11-571M6.7,FHOD1,RP11-160H22.5,ZBTB43,LSM12,RP11-326F20.5
5221,MORN4,PSMD5,RP11-379K17.4,ATF5,DEPDC1B,PHIP,MYSM1,ZNF358
5222,DNAJC27,RPS4Y2,XPO1,ADCY9,CSNK1E,PLEKHG4,WDR26,LGR6
5223,GALNT7,MTMR1,MYH11,RALGDS,OCRL,AC079807.2,SYNE3,UFSP1
5224,LINC00342,SGSM2,LRRC16B,NFYC-AS1,ZNF611,TMEM63C,SIAH1,ZNRF2
5225,RP11-74E22.3,ZFAND4,ZDHHC13,L3MBTL4,ZNF674,ZNF674,FANCB,WBSCR27
5226,SIRPB1,CA13,C9orf114,CENPA,CTD-3093M3.1,IL23A,PPWD1,TANC2
5227,TRIM66,AC090186.1,CTB-102L5.4,TLR6,CHEK2,KBTBD8,EXOSC7,CRB3
5228,NME1-NME2,PLEKHN1,PCBP3,RHPN1,TRMT6,RASAL1,SMCHD1,PPP4R1L
5229,GTSCR1,ERCC8,RP11-977G19.12,EP400NL,DUS1L,CKAP2,TFB1M,ZBED6CL
5230,LINC00422,CD55,IGFBP4,PQLC2,TULP4,GALNT2,SAMD1,AC020571.3
5231,VASP,DOLK,UFM1,FKTN,EML3,ACSL3,RP5-886K2.3,PCAT1
5232,CTA-384D8.36,CTD-3074O7.12,BTBD3,MMP25,MAPK11,SS18L2,FAM199X,RP11-809O17.1
5233,LPCAT2,ZNF211,LMBRD2,CD226,SMARCA2,MERTK,KLF11,CLCN5
5234,CD28,CTD-2516F10.2,BCCIP,WASH4P,BCDIN3D,BORA,C9orf41,WDFY3
5235,PTBP3,KIAA1407,RPRD1B,CBWD2,TESK1,DYNLL1-AS1,ARRDC3,CCSAP
5236,FLOT2,TANGO2,METRNL,ERCC6,QPRT,ATP6V1E2,IBA57,PVRL1
5237,SLFN5,SREK1,MLH1,LAMTOR5,CLASP1,MED14-AS1,MYO1C,FAM153B
5238,KIF21A,LRRC37A,TEF,LINC00562,RP11-708J19.1,CCDC58,TMEM161B,E2F5
5239,RINL,RP11-264L1.4,NEDD4,AC131056.3,NRXN2,AMFR,RNMT,CHM
5240,NME4,RNF111,RAB11FIP5,ZNF235,AC013264.2,BCCIP,FBXL12,FBXO30
5241,AD000671.6,FAM151B,RBL2,RP11-666A1.5,TRAF3IP2,COQ10A,MFSD8,NIPA1
5242,SETX,AKAP5,TEX22,RIN1,SFMBT2,ERMN,FTX,ARHGAP19
5243,GPATCH3,FKBP9,RP11-299J3.8,RP11-110G21.1,BET1L,C12orf29,AUTS2,CCDC180
5244,SMAGP,CTC-246B18.10,IDH3A,ARRDC5,CGGBP1,DCUN1D1,ZNF200,TUBG2
5245,GSTA4,EHD3,RP11-355B11.2,SLC2A1,DNMBP,SPECC1,PTGDR2,CTD-2020K17.4
5246,ACTL10,ENTHD2,RAPGEF3,GNPAT,NAGS,IER3IP1-1,PDLIM1,ALG1L
5247,RP1-8B1.4,ZSCAN18,RP11-338I21.1,MAN1C1,RP11-553L6.2,CABP4,RPP14,TAF5
5248,F2R,SS18L1,AIG1,AMDHD2,DNAJC16,BLMH,DENND2D,CYP4F22
5249,IGSF9B,FPGS,GHITM,XXbac-BPGBPG55C20.2,RPS6KL1,C10orf105,ACADVL,TMEM134
5250,SEMA4A,HMGXB4,DSCC1,KCTD10,DHFRL1,MAN1A1,TNFRSF12A,LRRC34
5251,ERCC2,PGF,RP11-56B16.4,CTC-366B18.2,ANKRD13A,RPS15,FAM222B,AGRN
5252,RP11-575L7.8,SOX7,CORO6,AGPAT6,SNCA,CD248,NAPEPLD,RP5-914P20.5
5253,RP11-260M2.1,FAM169A,FBXO30,PDK2,RP11-274B18.2,DCUN1D3,ZNF626,LGALS9B
5254,NOXA1,RECQL,UBOX5,MTRF1L,CDK3,SMURF2,MED8,RDH10
5255,GTF2E2,BTBD11,C7orf43,RP11-474G23.3,FANCB,MIR378D2,STK38,HIST1H4A
5256,ZC3HC1,KB-1507C5.2,FMNL3,TNK2-AS1,BICD2,GALK2,LENG8,CTD-2192J16.22
5257,IPMK,C9orf40,FAM160B2,FAM20B,USP9Y,PEF1,TCF19,THNSL2
5258,RP5-1050D4.3,LNX2,ZNF585A,USP38,CD6,AHSA1,SIKE1,GPR150
5259,HSPA1L,ZNF816,TMED1,ZNF782,KIAA0141,HKR1,NBN,IKZF2
5260,RP6-206I17.1,ST3GAL5,CCDC73,RLN1,INCENP,TCF19,DLG4,ZBTB41
5261,LBX2-AS1,DLEC1,CKMT2-AS1,RPS25,GATA3,ZNF398,CRAT,LCMT2
5262,CHSY1,MEGF8,RPS4Y2,CDC45,KDM8,ROCK2,TRABD2A,AC007880.1
5263,CTD-3131K8.2,C14orf119,HDGFRP3,AC004854.4,FSCN3,PMS2,DDX55,LETM2
5264,SPDYA,RP11-395G23.3,PRDM15,ACTL10,NPIPA5,TMEM245,FTSJ2,TRAPPC12-AS1
5265,SYCE1,JAK3,MIR4519,ATHL1,PLEKHG4,OSGIN1,SCAMP2,C2CD2
5266,GRAMD1B,RP11-869B15.1,ZNF805,TNRC6B,MTERF,XYLT1,BRWD1,ETV2
5267,PLD6,LPXN,MAP3K9,TRPM2,FAM65A,C2orf62,FBXW4,RP11-305L7.1
5268,QRICH2,ATP6V1E2,MON1B,RP5-1024G6.7,RP11-147L13.2,SBDS,ZNF606,SNIP1
5269,HGD,VPS26A,EIF4G1,ZC2HC1A,LSM14B,MSRB3,UBE2L6,AC012358.8
5270,GNL1,DAK,MRPL53,ST6GALNAC2,SYCP3,BRCA1,MYCBP,ARMCX2
5271,KIAA0125,DNAJC24,PANK3,SIAH1,ROPN1L,RP13-516M14.1,ANKRD37,LMOD3
5272,RP11-96K19.5,PPIP5K1,C12orf61,DNAJC3-AS1,KIAA1524,ASUN,RP4-539M6.22,USP44
5273,CYP3A5,CALCOCO1,RASA2,VARS2,CPSF3,NCDN,MIAT,RP1-244F24.1
5274,FDXACB1,NEK3,IGF2BP3,RP1-261D10.2,KCTD2,SLC36A1,UGCG,DNAJA4
5275,SUGCT,PXDC1,MAP3K14-AS1,RABAC1,ARHGAP27,MOCS1,SLC35E3,ELOVL4
5276,ZNF93,SCARF1,MTHFSD,PTPN13,LRRC69,C1orf51,JMJD8,FGD6
5277,PGAM5,DICER1-AS1,MKS1,DUSP11,RASA2,NXT1,TMEM260,PDZD7
5278,NEDD4,TIMP2,RP11-13P5.1,BCAT1,MYD88,C15orf52,C8orf33,CCDC153
5279,AC009133.14,FRMD4B,ZWINT,PEX2,SLC9B2,INPP5D,SRD5A1,LIN54
5280,AC007246.3,ZNF503,PSMB1,ZMYM6,KIAA1958,ZNF41,RAB34,PVR
5281,FAU,PARG,RP11-350F4.2,HOMER1,ZCCHC18,GALNT11,PIGN,FOSL1
5282,SPTLC1,FAM153A,ALDH5A1,VMP1,ROBO3,PPAPDC2,ECHDC2,LAMP3
5283,DHX40,AC009473.1,GAB1,LINC00880,PROSER1,COQ3,NT5DC1,RP3-428L16.2
5284,TRIM3,PYGO2,NCKAP1,ABHD5,C1orf216,ATF3,U2AF2,PSMC3IP
5285,ATG9A,GALNT3,HOXB3,NLK,TRPM2,MYO16,SLC25A4,RWDD1
5286,ZNF418,SSC5D,MIR29A,MAN2A1,VPS11,ZNF765,MAPK6,CDK20
5287,HPS3,FUZ,CTD-2547L16.1,SMCO4,SH3GL1,AP5M1,NDUFA12,ZNF549
5288,HOXA10,LINC00264,POLR2I,MIR4519,RP11-1391J7.1,RP3-473L9.4,RASSF3,FKBP1B
5289,CABP4,MBOAT2,AL353354.2,ME3,MFNG,HOXA-AS2,CSRP2BP,RP11-372K14.2
5290,DEXI,AK9,RP1-92O14.3,KCTD5,FBXL19,DHRSX,RP11-815J21.2,CTD-2302E22.4
5291,ZNRF1,VARS2,RP11-96D1.11,GIMAP8,ATP1A3,DHX16,NOL12,CTD-2319I12.2
5292,TRAPPC2L,ZKSCAN7,ZNF544,AGAP1,POLE2,MBLAC1,NOL9,TENM1
5293,SNRPN,GTF2I,SETD4,EIF5A2,MCTP1,SLC25A26,NCOR2,RP3-467N11.1
5294,SOGA1,NFE2,TXLNA,XXcos-LUCA11.4,PIDD,CCR7,CHFR,ZNF440
5295,TANGO6,RUVBL1,HDAC10,CDC25A,RP11-707G14.1,CHAF1B,UBL5,PRELID2
5296,ANKRD28,HAX1,LAYN,NPIPB5,RNASEH1-AS1,C19orf54,DIAPH2,SOCS6
5297,ZNF710,MRFAP1,PIGV,RP11-486G15.2,ZNF397,HHLA3,DNAJA4,TRMT44
5298,SRRD,MFSD5,FSCN3,WWP1,ALKBH2,P2RY1,AKAP13,FAM229A
5299,RP11-297N6.4,CTB-55O6.4,LINC00880,CITF22-92A6.1,ZNF23,COQ6,ENTPD1-AS1,P2RY6
5300,SPTSSA,CLIP2,SSBP3,CCDC18,PEAK1,GPR153,SLC41A2,RP11-390B4.5
5301,DUSP10,KIF13B,KRTAP5-AS1,KIAA0754,STX12,AC079305.10,JMJD6,CDK14
5302,XKR8,RP1-223E5.4,AC016683.5,IFT46,NUPL1,KCNE1,ZNRF1,CBX2
5303,CTD-3074O7.12,RP11-312B8.1,FAM117B,RP11-731C17.2,UFM1,CTC-241N9.1,PPP1R10,CTD-2369P2.2
5304,NOD1,TOR1A,EFNA3,VAMP1,ZNF669,EIF3C,PACRGL,C15orf38
5305,AC144652.1,NOP2,APOOL,RP5-1085F17.3,MSRB2,RP11-218M22.1,CAMK1,FANCB
5306,ENKUR,ANKRD34B,PLEKHA4,ZNF559,TVP23C,CCDC159,KIAA0020,SNAI1
5307,RP11-415F23.2,DRAXIN,CXCL10,RNU11,TNRC6B,RP11-656E20.5,AXIN1,SCMH1
5308,RP5-821D11.7,ZSCAN29,AMMECR1,TAF5,DNAJC17,RRP15,PDSS1,MAN1C1
5309,ECI1,TTC28,RP11-46J23.1,FAM89B,RP11-138A9.2,KIAA1407,MIR181A1HG,LRRCC1
5310,S1PR3,RP11-452H21.4,RP11-163N6.2,ZNF781,A2M,ZDHHC2,ZNF793,SLC41A2
5311,TRAM2-AS1,C12orf68,TMSB15B,METTL2B,RP11-434H6.6,BTF3L4,NAF1,C5AR2
5312,ERMN,NABP2,TGFB3,TBX19,CHML,RP11-1348G14.5,SLC7A1,GNAI1
5313,RP11-875O11.1,ZNF84,RP11-407N17.5,FBXO45,AC069363.1,MAP1B,DEF8,RGPD2
5314,CD248,IMPDH1,YOD1,ZSWIM3,ALDH18A1,INCENP,PFN1,ZMYND19
5315,DHRS1,ZFYVE26,RP11-1149M10.2,TUBGCP5,PRR14,RNLS,RBM41,UTP14C
5316,SLC51A,KBTBD7,SPIRE2,LRP2BP,ARL14EP,GYLTL1B,ZNF677,PDZD4
5317,PTCD2,CTD-2165H16.4,AL354822.1,PGRMC1,RPL36AL,RAB2B,EXOC6B,SACS
5318,RP11-111J6.2,WDR5,BRD4,ZNF793,AC002467.7,WWC2,RP11-1094M14.11,CNIH3
5319,ST8SIA1,PLEKHG4,BEND4,ETNK1,SMYD5,CTD-2630F21.1,ZFAND3,PTGR2
5320,ZSWIM4,RP11-1055B8.4,SQRDL,CCL4L2,ORC6,TAF2,EBLN2,IDUA
5321,RP11-190C22.8,ZNF45,TESK2,NKIRAS2,ADSSL1,VARS2,RP11-258F1.1,FBXO5
5322,TRIM7,FNBP1L,MUC20,TCFL5,RP11-620J15.3,EIF3M,CSAD,KLF8
5323,IPP,AAMP,EIF2B1,ZC3H12D,CKAP5,TMX2,ZNF430,SEC61A2
5324,ZNF596,TMEM179B,IRS1,MXRA7,CCDC120,RGPD2,FAM109A,MYH3
5325,ATP6V0E2-AS1,NPM2,CTC-428G20.3,GSTM1,C5orf42,FAM193B,ATP9B,PPP5D1
5326,FAM127A,SRD5A1,RPGRIP1L,TRIM59,THG1L,TRAPPC6B,PRR4,TLCD1
5327,STON2,NUP210,TCEANC2,C1orf61,DCBLD2,IPO11,LTBP3,SEPT10
5328,RP11-154H23.3,DHODH,RP11-359K18.3,RP11-624C23.1,CTD-2186M15.3,PAK1,AGL,PPP2R3B
5329,ZNF225,DOCK7,RP11-46C24.7,TMEM170A,RP11-134P9.3,MLXIP,WDFY2,GPR133
5330,TNFRSF12A,MAP3K10,CTIF,PSME3,CLEC4A,RTTN,KMT2E-AS1,CTB-152G17.6
5331,RP1-28O10.1,RAB40C,RNFT2,TUBE1,ZNF707,CTD-2135D7.5,C9orf139,ST8SIA1
5332,SERPING1,PTPN7,MST1,RP2,IQCG,DUOX1,ZDHHC8,FAM102B
5333,TRNT1,FLCN,RP11-390F4.3,SPIRE1,RP11-1055B8.4,LRRC1,LITAF,RP11-446N19.1
5334,CTD-2325M2.1,LONRF3,IBA57,HOMER3,CDK5RAP3,RP11-315I20.1,MYO9A,SNURF
5335,RP11-110I1.13,NFIL3,GSKIP,DDX20,MAMSTR,ITGA10,RP11-295P9.3,EPB42
5336,D2HGDH,MIR3615,RP1-111C20.4,KCNC4,ORC5,TNFRSF10A,AP001372.2,RP11-582J16.5
5337,ARMCX2,ALKBH2,CTB-152G17.6,PARP16,VAMP3,RAB40C,TBC1D22B,SNTA1
5338,VIPR1,TEX22,FAM161A,SLC25A15,GEMIN2,KCTD7,MIER2,FBLN2
5339,HUS1B,TRIM16,HDAC6,MPST,SH3GLB2,COL13A1,OAS2,B3GAT1
5340,GPR63,TMEM64,KMO,KLC4,INTS1,ASB16-AS1,KLHDC10,PLK4
5341,FGD4,TNRC6A,ADAMTSL5,AC092667.2,RBBP5,RP5-1085F17.3,TRPM7,CTPS2
5342,FAM102B,ABCB4,ZNF165,RMI1,CDK13,HARS,TMED5,ADAMTS6
5343,RP11-395A13.2,MED19,HSD17B1,CCDC9,GVQW1,ZC3H11A,PWWP2A,CCT6B
5344,FYN,RP5-1007M22.2,CTD-2541M15.1,C1QTNF6,GS1-393G12.13,THOC5,NUTM2A-AS1,AC009133.12
5345,AKT2,ADAM12,TRAPPC8,TNS3,SLC25A29,RP11-35G9.3,DNAJC10,UBXN7-AS1
5346,SOS1,HILPDA,DOLK,SH2B3,MED12,F12,ABCE1,RP3-322G13.5
5347,PIN4,ATP1A3,ITPKB-AS1,IPO5,PODXL2,RP4-575N6.4,ARL2,GOLGA7B
5348,PHF6,ARVCF,F2R,CTD-2020K17.4,CTC-297N7.8,ZNRD1-AS1,TGFBR1,ATP8B1
5349,C5orf22,ABCC5,ZRSR1,THOC3,DHX38,SENP7,FAM127B,C1QTNF6
5350,NAP1L5,METRN,TNK2-AS1,KBTBD4,ZNF428,PIGK,HPRT1,INPP5E
5351,CD151,RP11-342I1.2,PUSL1,NEFH,CA13,LEF1,ATAD2,CACFD1
5352,MTUS1,EIF1AX,SLC39A13,MINPP1,ACADSB,GPR89A,SH2B2,POMGNT2
5353,MGEA5,OVCH1-AS1,TMEM127,HSPA1A,AAED1,PIK3C2B,PBX3,GDPD1
5354,ECD,SIRT4,ENY2,ALG14,FAM206A,SIN3A,NARG2,IKBKG
5355,TCP10L,PIP4K2B,C11orf30,CCDC102B,AC074138.3,FAM120B,TM2D1,C14orf182
5356,COG6,ZDHHC23,WBP4,SNPH,MAN2C1,ELMSAN1,PTPN23,RP11-196G11.2
5357,SLX4,TRIM46,PNO1,TEP1,EGR2,SETD4,KCNAB2,RP4-647C14.3
5358,SFXN4,TNRC18,PGRMC1,ZNF35,SMARCAL1,RP11-52J3.3,ABAT,ATP1A3
5359,RP11-680A11.5,PI4K2A,RP11-463J10.3,SEPHS1,LRRC37A,PSEN2,UBE2E1,MAGEE1
5360,PVRL3,AF213884.2,ZNF627,NOD1,MDK,TTC30A,SLC25A35,KIAA1377
5361,ATG2B,RP11-517I3.1,PRELID2,SPATA33,PYGO2,MTMR9,PFKFB4,RP4-816N1.6
5362,ZBTB7A,RP11-479G22.8,ACTR6,HOMER2,FAF2,MVB12B,NUP62,XXbac-BPG181M17.6
5363,CTB-12A17.3,FAM92A1,OVGP1,EIF2D,DCUN1D3,ANXA11,DLD,SUV39H2
5364,TNRC6C,NUP155,SEZ6,CNNM3,FRS3,ZNF682,HMGN5,F12
5365,ACAP3,HSBP1,IL21R-AS1,LILRA6,CRYZ,PREPL,RRN3,FRS3
5366,RP11-540O11.6,FAM132A,PDE4D,C17orf100,RP11-727F15.12,TREML2,TGIF2,RP11-649E7.5
5367,DDX43,ALCAM,PAQR4,ANKS6,RP11-359K18.3,MPZL3,ARL13B,RMI1
5368,PICK1,RP11-498C9.15,C10ORF68,RP11-388M20.6,CHMP6,ZNF425,NR2C1,TMEM25
5369,NR3C2,HPS1,USP54,RP11-425D10.10,MIPEP,HNRNPDL,RPS17,ZNF555
5370,RP11-115C21.2,RP11-42I10.1,TDP2,CTD-2666L21.1,FBXL20,RAB22A,RFC5,WDR35
5371,C1QC,APOA1BP,VPS16,EXOG,MAP1LC3A,CTD-3193K9.4,EPG5,TUFT1
5372,BCL2L2,ZNF616,C1orf213,ESCO1,RP11-318C24.2,GFI1,TELO2,IL1R2
5373,AC013449.1,CES1,RGL1,THUMPD2,NAGLU,ACLY,LOXL3,ZNF107
5374,HIST2H2BF,AC018766.4,MTFR2,ZNF484,CCDC130,CPED1,DNAJB14,ANKRD16
5375,TNFSF13,TRPV3,CEP76,SETD8,DHX34,CDC34,BARD1,TPRG1-AS1
5376,RP11-509J21.2,RP11-70P17.1,UBE2S,TBC1D14,SPATA21,RGS12,STYX,USP13
5377,RP11-83N9.5,ATG2A,CTD-2583P5.3,RP11-134G8.7,TREML2,RP6-99M1.2,HECA,DGKH
5378,SCRG1,MTERF,PTK6,CAB39,TELO2,CTD-2007H13.3,CBLL1,ANKRD22
5379,CAB39,RP11-10C24.1,RP11-805I24.1,TTC4,RPGR,CCNG1,CTC-301O7.4,RP11-152N13.5
5380,LONP1,RALGPS1,PLOD3,ARL17A,RP1-28O10.1,ZNF784,PIBF1,C9orf40
5381,PLA2G4C,OSBP,RP11-367J11.2,MLYCD,CTU2,RP3-395M20.9,JDP2,TRNP1
5382,SLC16A5,APOA1,GEN1,JAKMIP2,MAP2K1,AP4S1,DLAT,RP11-452L6.1
5383,SPG7,RP11-243J16.7,DZANK1,LILRB1,SLC25A51,ANKRD26,EMC9,AGBL3
5384,CCDC180,TEC,SCRIB,RP11-493L12.4,KCTD21,DOCK8,RFX7,ZNF808
5385,ZNF541,CORO6,CTD-2035E11.5,ELOVL1,FAM118B,GLG1,ZNF273,SLX4
5386,FAM227B,CTA-445C9.15,ZSWIM3,GRB10,RPRD1B,RP11-764K9.1,RGS3,RP11-298J20.3
5387,CLUH,CTD-2368P22.1,NUSAP1,FBXO36,PANK3,TAF11,PKNOX1,VPS54
5388,MOB2,CTD-2033A16.3,RP11-65I12.1,SFMBT2,RP11-216B9.6,CCDC61,RBM8A,ZSCAN12
5389,TRIM44,RP5-1115A15.1,ICK,SRSF11,DDX49,PPFIBP2,ZBTB14,FAM135A
5390,FAM219A,WBP2NL,GCLM,FBP1,ARRDC4,CTD-2514K5.2,TUBB2A,LBX2-AS1
5391,UGDH,PTCH1,KDM8,ZNF347,RP11-505P4.6,TAF5L,TUBB1,KIR3DL1
5392,MVB12A,CHML,PHF23,ZFHX3,PMS2,RTKN2,ASUN,RLN2
5393,DARS2,STK35,ADH5,ZNF649,ITM2A,GPATCH1,ABHD10,ZNF81
5394,RCOR1,IKZF1,BGLAP,RP11-89K10.1,MFSD2B,NFIX,AHCY,AP000769.7
5395,KBTBD6,LINC01063,CTD-3074O7.5,CDK14,CCDC78,RP4-758J18.2,FUNDC1,SIPA1L3
5396,CHKA,HIST1H1E,GOLIM4,LINC00893,RP11-700H6.1,RDH10,DCUN1D4,AARS2
5397,GPATCH4,ITM2A,NDST2,CTD-3138B18.5,TIGD6,KIR3DL2,KIAA0195,AP001469.9
5398,ANKRD6,POLR3B,CC2D1B,LATS1,TOLLIP,VPS33B,MTA3,MYO1E
5399,RP11-442N24__B.1,ITIH4,RP11-290D2.3,FAM227B,CLPTM1L,TIPIN,SLC25A14,NUSAP1
5400,NOL3,PTPRK,BTBD7,NDUFA4,RP11-884K10.7,AC093391.2,HLTF,KIF23
5401,USP49,NBPF3,RP11-417F21.1,NBR1,LINC01137,CYTH3,ATF5,TMEM67
5402,HPRT1,TGFBR3L,MYBL1,GLTSCR1,PACS1,MBD5,TRAPPC12,RP11-483P21.2
5403,RP11-849F2.8,RP11-16N11.2,ALDOC,C5AR2,MOSPD1,PFKM,JAK2,TIGD3
5404,RNPC3,PBX1,SLC35E2,FIGNL1,ATN1,GALNT3,MCM5,RP11-229P13.20
5405,NAB2,NOL3,TASP1,ATAD5,ENDOV,FEM1C,MAST2,SLC6A16
5406,VPRBP,AFTPH,RP11-490M8.1,ATP6V1H,ZBTB47,ITGB3BP,U2SURP,ZNF510
5407,RP11-326C3.15,FGF14-AS2,SCARF1,MYOM1,UST,CTD-2325M2.1,OSBP,PPP1R3F
5408,DEPDC5,CERKL,MSH5,GSPT1,POLR3B,LCORL,KBTBD4,HIC2
5409,ZNF416,MICALL2,KLHDC1,SCAMP4,PPME1,CLIC2,KDM6A,RP11-166P13.4
5410,SLC11A1,B3GNT8,PARD6B,CTD-2260A17.2,TCEAL1,CLIC4,INO80,C5orf66
5411,CDC7,CECR6,MCM3AP-AS1,RP11-22P6.3,SPIN4,ZNF565,PEX14,CYB5D1
5412,RARRES3,RAB37,RP11-154H23.3,SNAI3-AS1,REM2,PODXL2,CTB-55O6.12,FAM72A
5413,TSC22D2,C5orf28,MTPAP,MVB12B,CANX,OIP5,ZNF106,RP3-400N23.6
5414,C12orf42,C10orf111,CCDC154,NICN1,DNAJC11,THAP2,CRBN,C21orf49
5415,ZNF135,KIAA0101,ATAD3A,NUS1,RAB12,SAP30L,KPNB1,DTX1
5416,RNF222,PLGLB1,MAP1LC3A,RP11-343H5.6,GAS7,RP11-443B7.3,PITPNC1,PAXIP1-AS2
5417,PAFAH1B3,PINK1-AS,AUTS2,FKBP3,MED31,KANSL2,NUP205,AIM1L
5418,PTPRA,SHQ1,ZNF565,FOSL1,TNKS2-AS1,GFI1B,DCAF5,RP11-517I3.1
5419,C6orf99,NFIA,TRUB1,RRAGD,ZNF616,XYLB,GMIP,STXBP5
5420,SUCO,DEPDC5,DIS3,RP5-1148A21.3,DFNB31,KLRK1,DHRS1,CEBPE
5421,POLE2,CTC-297N7.5,CPT1B,TIMD4,GPATCH2,PODN,CCNG2,CEP72
5422,LINC00894,CCL3L1,ZNF578,CBX8,AVPI1,HCG18,MAP2K7,DHCR24
5423,CHKB-AS1,CPLX1,ZSCAN25,RP4-798A10.2,CISD1,DPY19L4,ENO3,CXorf57
5424,RP11-173M1.8,SRCRB4D,CTD-2033A16.3,BMP1,AC004463.6,RP11-80H8.4,SLC10A3,NET1
5425,PSME3,RP5-1159O4.1,FAM167A,CHST10,NRG2,THRA,WDR20,RBAK
5426,HIST1H1B,COL4A3,SRP14-AS1,ASGR2,PADI4,FDXR,DUSP11,AP001058.3
5427,IGFLR1,LYG1,MEGF8,MDM4,SMG5,ATP6V1C1,GBAS,HESX1
5428,CENPB,RP11-558F24.4,HSF2,CTD-2135D7.5,PAQR3,MT-ATP6,DAG1,GRK4
5429,MAD2L1BP,GDPGP1,RP11-863K10.7,LINC00957,EIF4E3,RHOBTB2,PASK,PAX8
5430,LINC00174,POLR3D,RFWD3,PXN,NMRK1,HACL1,C19orf33,RP11-334C17.5
5431,TMEM163,LRP5L,ITGA5,PIK3CB,ANKDD1A,RP11-448A19.1,C9orf85,WRNIP1
5432,KIFAP3,RP11-80H8.4,ACTR10,ANKS3,TBX19,TMEM201,TTI1,SLC22A18AS
